modelname,foto,colorcode,fullmodelcode,model_id,group,subgroup,category,subcategory,status,season,colorname,service,first_date,cm,codes,Фотосессия 21-54,Фотосессия 21-55,Фотосессия 21-56,Фотосессия 21-57,Фотосессия 21-58,Фотосессия 21-59,Фотосессия 21-60,Фотосессия 21-61,Фотосессия 21-62,Фотосессия 21-63,Фотосессия 21-64,Фотосессия 21-65,Фотосессия 21-66,Фотосессия 21-67,Фотосессия 21-68,received,received_in_cogs,sales,sales_in_cogs,realization,days0,speed_of_sales,amount,margin,was_in_sale,stocks,cogs_x,stock_in_cogs,roa,roa1,roa2,days_w,sales_w,speed_of_sales_w,cover_w,2_a,"Москва, Долгоруковская, 40.",0_a,"Зал (Долгоруковская, 40)",Мск склад Новослободская,"Склад ""Единички"" (Москва, Долгоруковская, 40)",Транзит Москва - Новослободская,Транзит Б.Дорогомиловская - Долгоруковская,"Новая Коллекция (Долгоруковская, 40)",1_a,"Ремонт (Москва, Долгоруковская, 40)","Стирка (Долгоруковская, 40)","Брак (Москва, Долгоруковская, 40)",2_b,"Москва, Большая Дорогомиловская, д.8",0_b,"Зал продаж (Большая Дорогомиловская, 8)","Склад (Большая Дорогомиловская, 8)","Склад ""Единички"" (Большая Дорогомиловская, 8)",Транзит Москва - Дорогомиловская,Транзит Долгоруковская - Б.Дорогомиловская,"Новая Коллекция (Большая Дорогомиловская, 8)",1_b,"Ремонт (Большая Дорогомиловская, 8)","Стирка (Большая Дорогомиловская, 8)","Брак (Большая Дорогомиловская, 8)",2_c,Спб,0_c,"Склад (Спб, Фурштатская, 42)","Транзит Москва - Питер (Спб, распред.)","Зал продаж (Спб, Фурштатская, 42)","Склад Новая Коллекция (Спб, Фурштатская, 42)","Склад ""Единички"" (Спб, Фурштатская, 42)",Транзит Москва - Фурштатская,Транзит Казань - Питер,"Склад Новая Коллекция (Спб, Фурштатская, 42)","Сезон Хранение (Спб, распред.)","Склад ""Нижний"" (Спб, Фурштатская, 42)",1_c,"Ремонт (Спб, Фурштатская, 42)","Стирка (Спб, Фурштатская, 42)","Брак (Спб, Фурштатская, 42)",2_d,"Интернет магазин ""Look Online""",0_d,Склад (Интернет магазин Яковлев),Транзит Москва - ИМ,1_d,Зал продаж (Интернет магазин Яковлев),Стирка (Интернет магазин Яковлев),Ремонт (Интернет магазин Яковлев),Брак (Интернет магазин Яковлев),2_e,Основной магазин,0_e,Мск Склад ответ хранение  (Новый),Мск Сезонное хранение(Новый),Транзит Казань - Москва (Новый),Транзит Питер - Москва,Транзит Новослободская - Москва,Транзит Дорогомиловская - Москва,Транзит ИМ - Москва,Мск Контент склад (Новый),Фотосессия2,Мск на фотосессии (Новый),Склад Sale (центральный склад),Ответ Хран (Нью Лайн),Склад поступлений (ИП Шестаков),Склад поступлений (ИП Козлов),1_e,Склад списания,Мск Ремонт (Новый),Мск Брак (Новый),Товары для Киевской,Товары для Фурштатская,2_f,Китай,0_f,"Казань, Проспект Победы, 33",0_g,"Зал продаж (Казань, Проспект Победы, 33)","Зал продаж - обувь (Казань, Проспект Победы, 33)","Склад (Казань, Проспект Победы, 33)","Склад Лето Сезон Хран(Казань, Проспект Победы, 33)","Сезонное хранение (Казань, Проспект Победы, 33)","Склад ""Единички"" (Казань, Проспект Победы, 33)",Транзит Москва - Казань (Новый),Транзит Питер - Казань,"Новая Коллекция (Казань, Проспект Победы, 33)","Склад Sale (Казань, Проспект Победы, 33)",1_g,Транзит Брак Москва - Казань,"Уценка (Казань, Проспект Победы, 33)","Стирка (Казань, Проспект Победы, 33)","Ремонт (Казань, Проспект Победы, 33)",2_h,"Казань, Декабристов, 8",0_h,"Зал продаж (Казань, Декабристов, 8)","Зал продаж - обувь (Казань, Декабристов, 8)","Сезонное хранение (Казань, Декабристов, 8)","Склад (Казань, Декабристов, 8)","Склад Лето Сезон Хран(Казань, Декабристов, 8)","Новая Коллекция (Казань, Декабристов, 8)","Склад ""Единички"" (Казань, Декабристов, 8)",1_h,"Ремонт (Казань, Декабристов, 8)",2_i,Маркетплейсы,0_i,Склад (wildberries),"Подсорт ""Wildberries""",1_i,Итого,firstprice,firstadd,cogs_y,sal,addsale,sale,curadd,currentpr,provider
Шорты с защипами 2,fb12bfe4-d9af-11eb-9112-7085c281e0ea,,1WHT/008642,ЦБ-00003118,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.1 Шорты классические,Фотосессия 21_057,,Белый,ЦБ-00003118;Белый,2021-07-23 ,1,"29337, 29338, 29339",,,,2021-07-23,,,,,,,,,,,,130,77350.0,103.0,61285.0,0.79,41.0,2.5121951219512195,176617.0,115332.0,1,27.0,595.0,16065.0,1.49,,,7.0,10.0,1.4285714285714286,18.9,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1990.0,2.34,595.0,-50.0,-12.0,1.0,0.68,999.0,Баярма
Шорты с защипами 3,25f0ea53-dfc3-11eb-9112-7085c281e0ea,,1WHT/008661,ЦБ-00003137,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.1 Шорты классические,Фотосессия 21_057,,Бежевый,ЦБ-00003137;Бежевый,2021-07-23 ,1,"29402, 29403",,,,2021-07-23,,,,,,,,,,,,209,132715.0,132.0,83820.0,0.63,41.0,3.2195121951219514,237841.0,154021.0,1,77.0,635.0,48895.0,1.16,,,7.0,15.0,2.142857142857143,35.93333333333334,0.0,11.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,2290.0,2.61,635.0,-50.0,-14.0,1.0,0.81,1149.0,Баярма
Шорты с ремнем впереди просторочка,70b925b8-83a7-11ea-9106-7085c281e0ea,,1WHT/006538,ЦБ-00001288,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.1 Шорты классические,Фотосессия 3,,Бежевый,ЦБ-00001288;Бежевый,2020-05-22 ,1,"22898, 22899, 22900",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,565.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,1.46,565.0,-50.0,,1.0,0.24,699.0,Баярма
Шорты I’m A LADY ANYWAY,447edd64-d989-11eb-9112-7085c281e0ea,,1WHC/008615,ЦБ-00003091,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_057,,Молочный,ЦБ-00003091;Молочный,2021-07-23 ,1,29289,,,,2021-07-23,,,,,,,,,,,,201,121002.0,179.0,107758.0,0.89,41.0,4.365853658536586,343544.0,235786.0,1,22.0,602.0,13244.0,1.95,,,7.0,10.0,1.4285714285714286,15.4,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1990.0,2.31,602.0,-30.0,-4.0,1.0,1.32,1399.0,Баярма
Шорты в полоску на резинке 1,9efb9650-d99f-11eb-9112-7085c281e0ea,,1WHC/008626,ЦБ-00003102,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_057,,Черный,ЦБ-00003102;Черный,2021-07-23 ,1,29308,,,,2021-07-23,,,,,,,,,,,,190,72010.0,51.0,19329.0,0.27,41.0,1.2439024390243902,53463.0,34134.0,1,139.0,379.0,52681.0,0.47,,,7.0,9.0,1.2857142857142858,108.1111111111111,0.0,16.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1490.0,2.93,379.0,-50.0,-30.0,1.0,0.98,749.0,Баярма
Шорты в полоску на резинке 2 пуговицы,2e6a6944-d98c-11eb-9112-7085c281e0ea,,1WHC/008618,ЦБ-00003094,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_057,,Голубой,ЦБ-00003094;Голубой,2021-07-23 ,1,29295,,,,2021-07-23,,,,,,,,,,,,245,119560.0,55.0,26840.0,0.22,41.0,1.3414634146341464,65896.0,39056.0,1,190.0,488.0,92720.0,0.33,,,7.0,10.0,1.4285714285714286,133.0,0.0,14.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1790.0,2.67,488.0,-50.0,-33.0,1.0,0.84,899.0,Баярма
Шорты летние по спинке резинка,79322cad-bd32-11ea-9107-7085c281e0ea,,1WHC/006696,ЦБ-00001453,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 14,,Светло-бежевый,ЦБ-00001453;Светло-бежевый,2020-07-10 ,1,"24386, 24387, 24388",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,626.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,0.0,0.0,0.0,1490.0,1.38,626.0,-50.0,,1.0,0.2,749.0,Баярма
Шорты на защипах свободного кроя,a982d658-c1fe-11ea-9107-7085c281e0ea,,1WHC/006737,ЦБ-00001495,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,,,Кремовый,ЦБ-00001495;Кремовый,2020-07-24 ,1,"24530, 24531, 24532",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,419.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0,0.0,1290.0,2.08,419.0,-50.0,,1.0,0.55,649.0,Баярма
Шорты на резинке однотонные,415ae7e4-bd40-11eb-9112-7085c281e0ea,,1WHC/008419,ЦБ-00002895,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_054,,Черный,ЦБ-00002895;Черный,2021-06-22 ,1,28628,2021-07-13,,,,,,,,,,,,,,,4,1188.0,4.0,1188.0,,22.0,0.18181818181818182,2161.0,973.0,1,0.0,297.0,,,,,7.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,2.0,297.0,-50.0,-39.0,1.0,0.51,449.0,Баярма
Шорты облегающие,0fd8b1ca-0685-11ec-9116-7085c281e0ea,,1WHC/008866,ЦБ-00003342,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,,,Молочный,ЦБ-00003342;Молочный,NaT,1,"30113, 30114, 30115",,,,,,,,,,,,,,,,200,83800.0,0.0,,,0.0,0.0,,,1,200.0,419.0,83800.0,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-1.0,419.0,,,0.0,-1.0,0.0,Баярма
Шорты однотонные свободного кроя,0b0c9e66-d4c5-11eb-9112-7085c281e0ea,,1WHC/008609,ЦБ-00003085,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_058,,Белый,ЦБ-00003085;Белый,2021-07-27 ,1,"29264, 29265",,,,,2021-07-27,,,,,,,,,,,223,99235.0,180.0,80100.0,0.81,37.0,4.864864864864865,248802.0,168702.0,1,43.0,445.0,19135.0,1.7,,,7.0,33.0,4.714285714285714,9.121212121212121,0.0,13.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1490.0,2.35,445.0,-30.0,-7.0,1.0,1.36,1049.0,Баярма
Шорты однотонные свободного кроя,0b0c9e66-d4c5-11eb-9112-7085c281e0ea,,1WHC/008609,ЦБ-00003085,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_056,,Черный,ЦБ-00003085;Черный,2021-07-20 ,1,"29266, 29267",,,2021-07-20,,,,,,,,,,,,,210,93450.0,208.0,92560.0,0.99,42.0,4.9523809523809526,305368.0,212808.0,1,2.0,445.0,890.0,2.28,,,7.0,1.0,0.14285714285714285,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1490.0,2.35,445.0,-30.0,-1.0,1.0,1.36,1049.0,Баярма
Шорты с 2мя защипами ,b2591c03-08ae-11eb-910e-7085c281e0ea,,1WHC/007078,ЦБ-00001952,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 25,,Черный,ЦБ-00001952;Черный,2020-11-28 ,1,"25734, 25735, 25736, 25737",,,,,,,,,,,,,,,,1,497.0,1.0,497.0,,1.0,1.0,449.0,-48.0,1,0.0,497.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,2.0,497.0,-70.0,-70.0,1.0,-0.1,449.0,Баярма
Шорты с защипами и подворотом,722bb00c-d569-11ea-9109-7085c281e0ea,,1WHC/006822,ЦБ-00001656,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_023,,Бежевый,ЦБ-00001656;Бежевый,2020-08-07 ,1,"24754, 24755",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,450.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,0.0,0.0,1490.0,2.31,450.0,-50.0,,1.0,0.66,749.0,"ООО ""Эс энд Эй"""
Шорты с защипами и подворотом,722bb00c-d569-11ea-9109-7085c281e0ea,,1WHC/006822,ЦБ-00001656,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_023,,Серый,ЦБ-00001656;Серый,2020-08-07 ,1,"24752, 24753",,,,,,,,,,,,,,,,1,450.0,1.0,450.0,,6.0,0.16666666666666666,661.0,211.0,1,0.0,450.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,0.0,0.0,1490.0,2.31,450.0,-50.0,-56.0,1.0,0.66,749.0,"ООО ""Эс энд Эй"""
Шорты с защипами свободного кроя 1,0eeda1d2-d425-11eb-9112-7085c281e0ea,,1WHC/008596,ЦБ-00003072,1. Одежда,1.1 Поясные,1.1.3 Шорты,1.1.3.2 Шорты casual,Фотосессия 21_056,,Белый,ЦБ-00003072;Белый,2021-07-20 ,1,"29236, 29237, 29238",,,2021-07-20,,,,,,,,,,,,,176,107008.0,162.0,98496.0,0.92,42.0,3.857142857142857,293405.0,194909.0,1,14.0,608.0,8512.0,1.82,,,7.0,3.0,0.42857142857142855,32.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1890.0,2.11,608.0,-31.0,0.0,1.0,1.14,1299.0,Баярма
